id,greek,english,russian,level,group,type,example
1,το αβγό,egg,яйцо,A2,food,noun,Έφαγα δύο αβγά το πρωί.
2,αγαπάω,to love,любить,A2,verbs,verb,Αγαπάω την οικογένειά μου πολύ.
3,η αγάπη,love,любовь,A2,feelings,noun,Η αγάπη της μητέρας είναι αιώνια.
4,αγαπημένος,favorite,любимый,A2,feelings,adjective,Αυτό είναι το αγαπημένο μου εστιατόριο.
5,αγαπητός,"dear, darling","дорогой, милый",A2,feelings,adjective,Αγαπητέ φίλε, σε ευχαριστώ πολύ.
6,η αγγελία,"advertisement, ad","реклама, объявление",A2,communication,noun,Είδα αγγελία για ενοικίαση διαμερίσματος.
7,η Αγγελική,Angelica,Анжелика,A2,names,noun,Η Αγγελική είναι καθηγήτρια στο σχολείο.
8,ο Άγγελος,Angelo,Ангелос,A2,names,noun,Ο Άγγελος δουλεύει σε μια εταιρεία στην Αθήνα.
9,η Αγγλία,England,Англия,A2,countries,noun,Η αδερφή μου ζει στην Αγγλία εδώ και δύο χρόνια.
10,ο άγγλος,English person,"англичанин, англичанка",A2,people,noun,Ένας άγγλος τουρίστας με ρώτησε τον δρόμο.
11,το αγγούρι,cucumber,огурец,A2,food,noun,Έκοψα αγγούρι για τη σαλάτα.
12,άγιος,saint,святой,A2,people,adjective,Πήγαμε στην εκκλησία του Αγίου Νικολάου.
13,η αγκαλιά,"hug, hugging","объятие, объятия",A2,concepts,noun,Η μαμά έδωσε μια αγκαλιά στο παιδί.
14,η αγκινάρα,artichoke,артишок,A2,food,noun,Η αγκινάρα με λαδολέμονο είναι νόστιμη.
15,το αγκίστρι,hook,крюк,A2,home,noun,Κρέμασα το παλτό μου στο αγκίστρι.
16,η άγκυρα,anchor,якорь,A2,objects,noun,Το πλοίο ρίχνει άγκυρα στο λιμάνι.
17,ο άγνωστος,"unknown, stranger","неизвестный, незнакомец",A2,descriptions,noun,Ένας άγνωστος με ρώτησε πώς να πάει στο σταθμό.
18,η αγορά,"market, marketplace",рынок,A2,clothes,noun,Πήγα στην αγορά να αγοράσω φρέσκα λαχανικά.
19,αγοράζω,to buy,покупать,A2,verbs,verb,Αγοράζω ψωμί κάθε πρωί από το φούρνο.
20,το αγόρι,boy,мальчик,A2,people,noun,Το αγόρι παίζει ποδόσφαιρο στην αυλή.
21,το άγχος,"stress, anxiety","стресс, беспокойство",A2,feelings,noun,Έχω πολύ άγχος πριν τις εξετάσεις.
22,ο αγώνας,"match, game","матч, игра",A2,leisure,noun,Παρακολούθησα έναν συναρπαστικό αγώνα ποδοσφαίρου.
23,η άδεια,"leave, day off","отпуск, выходной",A2,time,noun,Πήρα άδεια από τη δουλειά για μια εβδομάδα.
24,αδειάζω,to empty,опустошать,A2,verbs,verb,Αδειάζω τη βαλίτσα μετά το ταξίδι.
25,η αδερφή,sister,сестра,A2,people,noun,Η αδερφή μου μένει στη Θεσσαλονίκη.
26,ο αδερφός,brother,брат,A2,people,noun,Ο αδερφός μου είναι γιατρός.
27,η αδυναμία,weakness,слабость,A2,concepts,noun,Η σοκολάτα είναι η αδυναμία μου.
28,αδυνατίζω,"to get thin, to get slim",худеть,A2,verbs,verb,Αδυνατίζω κάνοντας γυμναστική κάθε μέρα.
29,αδύνατος,"thin, slim","худой, стройный",A2,concepts,adjective,Είναι πολύ αδύνατος, δεν τρώει αρκετά.
30,το αέριο,gas,газ,A2,weather,noun,Μαγειρεύω με αέριο.
31,το αεροδρόμιο,airport,аэропорт,A2,city,noun,Φτάσαμε στο αεροδρόμιο δύο ώρες πριν την πτήση.
32,το αεροπλάνο,airplane,самолет,A2,travel,noun,Το αεροπλάνο αναχωρεί στις τρεις το απόγευμα.
33,η Αθανασία,Athanassia,Афанасия,A2,names,noun,Η Αθανασία είναι η γειτόνισσά μου.
34,η Αθηνά,Athina,Афина,A2,names,noun,Η Αθηνά σπουδάζει ιατρική στο πανεπιστήμιο.
35,ο αθλητής,athlete,спортсмен,A2,sports,noun,Ο αθλητής προπονείται κάθε μέρα στο γήπεδο.
36,ο αθλητισμός,sports,спорт,A2,leisure,noun,Ο αθλητισμός κάνει καλό στην υγεία.
37,το Αιγαίο πέλαγος,the Aegean Sea,эгейское море,A2,weather,noun,Τα νησιά του Αιγαίου πελάγους είναι πανέμορφα.
38,η Αίγινα,Aegina,Эгина,A2,countries,noun,Πήγαμε με πλοίο στην Αίγινα για το Σαββατοκύριακο.
39,η Αίγυπτος,Egypt,Египет,A2,countries,noun,Είδαμε τις πυραμίδες στην Αίγυπτο.
40,ο αιγύπτιος,Egyptian,египетский,A2,countries,noun,Ο αιγύπτιος συνάδελφός μου με δίδαξε μαγειρική.
41,αιγυπτιακός,Egyptian,египетский,A2,countries,adjective,Η αιγυπτιακή κουζίνα είναι πολύ νόστιμη.
42,η Αιθιοπία,Ethiopia,Эфиопия,A2,countries,noun,Η Αιθιοπία είναι γνωστή για τον εξαιρετικό καφέ της.
43,το αίμα,blood,кровь,A2,body,noun,Έκανα εξέταση αίματος στο νοσοκομείο.
44,η Αιμιλία,Emilia,Эмилия,A2,names,noun,Η Αιμιλία εργάζεται ως νοσοκόμα.
45,αισθάνομαι,to feel,чувствовать,A2,verbs,verb,Αισθάνομαι πολύ κουρασμένος σήμερα.
46,η Αϊτή,Haiti,Гаити,A2,countries,noun,Η Αϊτή βρίσκεται στην Καραϊβική θάλασσα.
47,η αίτηση,"application, application form","заявление, анкета",A2,concepts,noun,Συμπλήρωσα την αίτηση για τη θέση εργασίας.
48,η αιτία,"cause, reason",причина,A2,society,noun,Ποια είναι η αιτία της καθυστέρησης;
49,ο Άιφελ Πύργος,Eiffel Τower,Эйфелева башня,A2,geography,noun,Επισκεφθήκαμε τον Άιφελ Πύργο στο Παρίσι.
50,ακολουθώ,to follow,следовать,A2,verbs,verb,Ακολουθώ τον οδηγό στο μουσείο.
51,ακόμη,"even, more","еще, даже",A2,basics,adverb,Θέλω ακόμη ένα φλιτζάνι καφέ.
52,το ακορντεόν,accordion,аккордеон,A2,music,noun,Ο μουσικός παίζει ακορντεόν στην πλατεία.
53,ακούω,"to hear, to listen","слышать, слушать",A2,verbs,verb,Ακούω μουσική ενώ μαγειρεύω.
54,ακριβός,"expensive, costly","дорогой, дорогостоящий",A2,clothes,adjective,Αυτό το εστιατόριο είναι πολύ ακριβό.
55,ακριβώς,"exactly, precisely","точно, именно",A2,descriptions,adverb,Ήρθε ακριβώς στις οκτώ το πρωί.
56,η ακρόαση,listening,слушание,A2,school,noun,Κάνω ακρόαση για να βελτιώσω τα ελληνικά μου.
57,η ακτή,beach,пляж,A2,weather,noun,Πήγαμε στην ακτή για κολύμπι το απόγευμα.
58,το αλάτι,salt,соль,A2,food,noun,Πρόσθεσα λίγο αλάτι στη σούπα.
59,η Αλβανία,Albania,Албания,A2,countries,noun,Η Αλβανία συνορεύει με την Ελλάδα στα βόρεια.
60,τα αλβανικά,Albanian language,албанский язык,A2,countries,noun,Ο φίλος μου μαθαίνει αλβανικά.
61,αλβανικός,Albanian,албанский,A2,countries,adjective,Δοκίμασα αλβανική κουζίνα για πρώτη φορά.
62,ο αλβανός,Albanian person,албανец,A2,countries,noun,Ο αλβανός συνάδελφός μου είναι πολύ φιλικός.
63,η Αλεξάνδρα,Alexandra,Александра,A2,names,noun,Η Αλεξάνδρα είναι φίλη μου από το σχολείο.
64,η Αλεξάνδρεια,Alexandria,Александрия,A2,countries,noun,Η Αλεξάνδρεια βρίσκεται στη βόρεια Αίγυπτο.
65,η Αλεξανδρούπολη,Alexandroupoli,Александруполи,A2,countries,noun,Η Αλεξανδρούπολη είναι πόλη της Θράκης.
66,ο Αλέξης,Alex,Алексис,A2,names,noun,Ο Αλέξης είναι ο καλύτερος φίλος μου.
67,η Αλεξία,Alexia,Алексия,A2,names,noun,Η Αλεξία εργάζεται σε τράπεζα στο κέντρο.
68,το αλεύρι,flour,мука,A2,food,noun,Χρειάζομαι αλεύρι για να φτιάξω ψωμί.
69,η αλήθεια,truth,правда,A2,feelings,noun,Πάντα λέω την αλήθεια.
70,η Αλίκη,Alice,Алики,A2,names,noun,Η Αλίκη διαβάζει ένα βιβλίο κάθε βράδυ.
71,αλλά,but,но,A2,basics,conjunction,"Θέλω να έρθω, αλλά δεν μπορώ."
72,η αλλαγή,change,изменение,A2,concepts,noun,Χρειάζομαι μια αλλαγή στη ζωή μου.
73,αλλάζω,to change,"менять, изменять",A2,verbs,verb,Αλλάζω ρούχα πριν βγω έξω.
74,αλλιώς,"otherwise, differently","иначе, по-разному",A2,descriptions,adverb,Κάνε το αλλιώς, αυτή η μέθοδος δεν δουλεύει.
75,άλλος,"other, another",другой,A2,basics,adjective,Θέλω άλλο ένα ποτήρι νερό παρακαλώ.
76,το άλογο,horse,лошадь,A2,animals,noun,Το άλογο τρέχει γρήγορα στο χωράφι.
77,το αλφάβητο,alphabet,алфавит,A2,objects,noun,Μαθαίνω το ελληνικό αλφάβητο.
78,αμερικανικός,American,американский,A2,countries,adjective,Μου αρέσει η αμερικανική κινηματογραφία.
79,ο αμερικανός,American,американец,A2,countries,noun,Ένας αμερικανός τουρίστας με ρώτησε για τα αξιοθέατα.
80,η Αμερική (ΗΠΑ),United States of America,Соединённые Штаты Америки,A2,countries,noun,Έχω φίλους που ζουν στην Αμερική.
81,αμέσως,"immediately, right away",немедленно,A2,space,adverb,"Έλα αμέσως, σε περιμένω."
82,το αμπέλι,vineyard,виноградник,A2,nature,noun,Ο παππούς έχει ένα αμπέλι στο χωριό.
83,το Άμστερνταμ,Amsterdam,Амстердам,A2,countries,noun,Επισκεφθήκαμε το Άμστερνταμ το καλοκαίρι.
84,αν,if,если,A2,basics,conjunction,"Αν έχεις χρόνο, έλα."
85,ανάβω,"to light, ignite","зажигать, поджигать",A2,verbs,verb,Ανάβω ένα κερί στην εκκλησία.
86,η ανάγκη,"need, necessity","нужда, необходимость",A2,feelings,noun,Έχω ανάγκη από ξεκούραση μετά από τη δουλειά.
